x,y,foregroundColor,backgroundColor,character
101,5,#049F98,reset,█
102,5,#04AB50,reset,█
103,5,#04B708,reset,█
104,5,#04C2C0,reset,█
105,5,#04CE78,reset,█
106,5,#04DA30,reset,█
107,5,#04E5E8,reset,█
108,5,#04F1A0,reset,█
109,5,#04FD58,reset,█
110,5,#050910,reset,█
111,5,#0514C8,reset,█
112,5,#052080,reset,█
113,5,#052C38,reset,█
114,5,#0537F0,reset,█
115,5,#0543A8,reset,█
116,5,#054F60,reset,█
117,5,#055B18,reset,█
118,5,#0566D0,reset,█
119,5,#057288,reset,█
120,5,#057E40,reset,█
121,5,#0589F8,reset,█
122,5,#0595B0,reset,█
123,5,#05A168,reset,█
124,5,#05AD20,reset,█
125,5,#05B8D8,reset,█
126,5,#05C490,reset,█
127,5,#05D048,reset,█
128,5,#05DC00,reset,█
129,5,#05E7B8,reset,█
130,5,#05F370,reset,█
131,5,#05FF28,reset,█
132,5,#060AE0,reset,█
133,5,#061698,reset,█
134,5,#062250,reset,█
135,5,#062E08,reset,█
136,5,#0639C0,reset,█
137,5,#064578,reset,█
138,5,#065130,reset,█
139,5,#065CE8,reset,█
140,5,#0668A0,reset,█
141,5,#067458,reset,█
142,5,#068010,reset,█
143,5,#068BC8,reset,█
144,5,#069780,reset,█
145,5,#06A338,reset,█
146,5,#06AEF0,reset,█
147,5,#06BAA8,reset,█
148,5,#06C660,reset,█
149,5,#06D218,reset,█
150,5,#06DDD0,reset,█
151,5,#06E988,reset,█
152,5,#06F540,reset,█
153,5,#0700F8,reset,█
154,5,#070CB0,reset,█
155,5,#071868,reset,█
156,5,#072420,reset,█
157,5,#072FD8,reset,█
158,5,#073B90,reset,█
159,5,#074748,reset,█
160,5,#075300,reset,█
161,5,#075EB8,reset,█
162,5,#076A70,reset,█
163,5,#077628,reset,█
164,5,#0781E0,reset,█
165,5,#078D98,reset,█
166,5,#079950,reset,█
167,5,#07A508,reset,█
168,5,#07B0C0,reset,█
169,5,#07BC78,reset,█
170,5,#07C830,reset,█
171,5,#07D3E8,reset,█
172,5,#07DFA0,reset,█
173,5,#07EB58,reset,█
174,5,#07F710,reset,█
175,5,#0802C8,reset,█
176,5,#080E80,reset,█
177,5,#081A38,reset,█
178,5,#0825F0,reset,█
179,5,#0831A8,reset,█
180,5,#083D60,reset,█
0,6,#084918,reset,█
1,6,#0854D0,reset,█
2,6,#086088,reset,█
3,6,#086C40,reset,█
4,6,#0877F8,reset,█
5,6,#0883B0,reset,█
6,6,#088F68,reset,█
7,6,#089B20,reset,█
8,6,#08A6D8,reset,█
9,6,#08B290,reset,█
10,6,#08BE48,reset,█
11,6,#08CA00,reset,█
12,6,#08D5B8,reset,█
13,6,#08E170,reset,█
14,6,#08ED28,reset,█
15,6,#08F8E0,reset,█
16,6,#090498,reset,█
17,6,#091050,reset,█
18,6,#091C08,reset,█
19,6,#0927C0,reset,█
20,6,#093378,reset,█
21,6,#093F30,reset,█
22,6,#094AE8,reset,█
23,6,#0956A0,reset,█
24,6,#096258,reset,█
25,6,#096E10,reset,█
26,6,#0979C8,reset,█
27,6,#098580,reset,█
28,6,#099138,reset,█
29,6,#099CF0,reset,█
30,6,#09A8A8,reset,█
31,6,#09B460,reset,█
32,6,#09C018,reset,█
33,6,#09CBD0,reset,█
34,6,#09D788,reset,█
35,6,#09E340,reset,█
36,6,#09EEF8,reset,█
37,6,#09FAB0,reset,█
38,6,#0A0668,reset,█
39,6,#0A1220,reset,█
40,6,#0A1DD8,reset,█
41,6,#0A2990,reset,█
42,6,#0A3548,reset,█
43,6,#0A4100,reset,█
44,6,#0A4CB8,reset,█
45,6,#0A5870,reset,█
46,6,#0A6428,reset,█
47,6,#0A6FE0,reset,█
48,6,#0A7B98,reset,█
49,6,#0A8750,reset,█
50,6,#0A9308,reset,█
51,6,#0A9EC0,reset,█
52,6,#0AAA78,reset,█
53,6,#0AB630,reset,█
54,6,#0AC1E8,reset,█
55,6,#0ACDA0,reset,█
56,6,#0AD958,reset,█
57,6,#0AE510,reset,█
58,6,#0AF0C8,reset,█
59,6,#0AFC80,reset,█
60,6,#0B0838,reset,█
61,6,#0B13F0,reset,█
62,6,#0B1FA8,reset,█
63,6,#0B2B60,reset,█
64,6,#0B3718,reset,█
65,6,#0B42D0,reset,█
66,6,#0B4E88,reset,█
67,6,#0B5A40,reset,█
68,6,#0B65F8,reset,█
69,6,#0B71B0,reset,█
70,6,#0B7D68,reset,█
71,6,#0B8920,reset,█
72,6,#0B94D8,reset,█
73,6,#0BA090,reset,█
74,6,#0BAC48,reset,█
75,6,#0BB800,reset,█
76,6,#0BC3B8,reset,█
77,6,#0BCF70,reset,█
78,6,#0BDB28,reset,█
79,6,#0BE6E0,reset,█
80,6,#0BF298,reset,█
81,6,#0BFE50,reset,█
82,6,#0C0A08,reset,█
83,6,#0C15C0,reset,█
84,6,#0C2178,reset,█
85,6,#0C2D30,reset,█
86,6,#0C38E8,reset,█
87,6,#0C44A0,reset,█
88,6,#0C5058,reset,█
89,6,#0C5C10,reset,█
90,6,#0C67C8,reset,█
91,6,#0C7380,reset,█
92,6,#0C7F38,reset,█
93,6,#0C8AF0,reset,█
94,6,#0C96A8,reset,█
95,6,#0CA260,reset,█
96,6,#0CAE18,reset,█
97,6,#0CB9D0,reset,█
98,6,#0CC588,reset,█
99,6,#0CD140,reset,█
100,6,#0CDCF8,reset,█
101,6,#0CE8B0,reset,█
102,6,#0CF468,reset,█
103,6,#0D0020,reset,█
104,6,#0D0BD8,reset,█
105,6,#0D1790,reset,█
106,6,#0D2348,reset,█
107,6,#0D2F00,reset,█
108,6,#0D3AB8,reset,█
109,6,#0D4670,reset,█
110,6,#0D5228,reset,█
111,6,#0D5DE0,reset,█
112,6,#0D6998,reset,█
113,6,#0D7550,reset,█
114,6,#0D8108,reset,█
115,6,#0D8CC0,reset,█
116,6,#0D9878,reset,█
117,6,#0DA430,reset,█
118,6,#0DAFE8,reset,█
119,6,#0DBBA0,reset,█
120,6,#0DC758,reset,█
121,6,#0DD310,reset,█
122,6,#0DDEC8,reset,█
123,6,#0DEA80,reset,█
124,6,#0DF638,reset,█
125,6,#0E01F0,reset,█
126,6,#0E0DA8,reset,█
127,6,#0E1960,reset,█
128,6,#0E2518,reset,█
129,6,#0E30D0,reset,█
130,6,#0E3C88,reset,█
131,6,#0E4840,reset,█
132,6,#0E53F8,reset,█
133,6,#0E5FB0,reset,█
134,6,#0E6B68,reset,█
135,6,#0E7720,reset,█
136,6,#0E82D8,reset,█
137,6,#0E8E90,reset,█
138,6,#0E9A48,reset,█
139,6,#0EA600,reset,█
140,6,#0EB1B8,reset,█
141,6,#0EBD70,reset,█
142,6,#0EC928,reset,█
143,6,#0ED4E0,reset,█
144,6,#0EE098,reset,█
145,6,#0EEC50,reset,█
146,6,#0EF808,reset,█
147,6,#0F03C0,reset,█
148,6,#0F0F78,reset,█
149,6,#0F1B30,reset,█
150,6,#0F26E8,reset,█
151,6,#0F32A0,reset,█
152,6,#0F3E58,reset,█
153,6,#0F4A10,reset,█
154,6,#0F55C8,reset,█
155,6,#0F6180,reset,█
156,6,#0F6D38,reset,█
157,6,#0F78F0,reset,█
158,6,#0F84A8,reset,█
159,6,#0F9060,reset,█
160,6,#0F9C18,reset,█
161,6,#0FA7D0,reset,█
162,6,#0FB388,reset,█
163,6,#0FBF40,reset,█
164,6,#0FCAF8,reset,█
165,6,#0FD6B0,reset,█
166,6,#0FE268,reset,█
167,6,#0FEE20,reset,█
168,6,#0FF9D8,reset,█
169,6,#100590,reset,█
170,6,#101148,reset,█
171,6,#101D00,reset,█
172,6,#1028B8,reset,█
173,6,#103470,reset,█
174,6,#104028,reset,█
175,6,#104BE0,reset,█
176,6,#105798,reset,█
177,6,#106350,reset,█
178,6,#106F08,reset,█
179,6,#107AC0,reset,█
180,6,#108678,reset,█
0,7,#109230,reset,█
1,7,#109DE8,reset,█
2,7,#10A9A0,reset,█
3,7,#10B558,reset,█
4,7,#10C110,reset,█
5,7,#10CCC8,reset,█
6,7,#10D880,reset,█
7,7,#10E438,reset,█
8,7,#10EFF0,reset,█
9,7,#10FBA8,reset,█
10,7,#110760,reset,█
11,7,#111318,reset,█
12,7,#111ED0,reset,█
13,7,#112A88,reset,█
14,7,#113640,reset,█
15,7,#1141F8,reset,█
16,7,#114DB0,reset,█
17,7,#115968,reset,█
18,7,#116520,reset,█
19,7,#1170D8,reset,█
20,7,#117C90,reset,█
21,7,#118848,reset,█
22,7,#119400,reset,█
23,7,#119FB8,reset,█
24,7,#11AB70,reset,█
25,7,#11B728,reset,█
26,7,#11C2E0,reset,█
27,7,#11CE98,reset,█
28,7,#11DA50,reset,█
29,7,#11E608,reset,█
30,7,#11F1C0,reset,█
31,7,#11FD78,reset,█
32,7,#120930,reset,█
33,7,#1214E8,reset,█
34,7,#1220A0,reset,█
35,7,#122C58,reset,█
36,7,#123810,reset,█
37,7,#1243C8,reset,█
38,7,#124F80,reset,█
39,7,#125B38,reset,█
40,7,#1266F0,reset,█
41,7,#1272A8,reset,█
42,7,#127E60,reset,█
43,7,#128A18,reset,█
44,7,#1295D0,reset,█
45,7,#12A188,reset,█
46,7,#12AD40,reset,█
47,7,#12B8F8,reset,█
48,7,#12C4B0,reset,█
49,7,#12D068,reset,█
50,7,#12DC20,reset,█
51,7,#12E7D8,reset,█
52,7,#12F390,reset,█
53,7,#12FF48,reset,█
54,7,#130B00,reset,█
55,7,#1316B8,reset,█
56,7,#132270,reset,█
57,7,#132E28,reset,█
58,7,#1339E0,reset,█
59,7,#134598,reset,█
60,7,#135150,reset,█
61,7,#135D08,reset,█
62,7,#1368C0,reset,█
63,7,#137478,reset,█
64,7,#138030,reset,█
65,7,#138BE8,reset,█
66,7,#1397A0,reset,█
67,7,#13A358,reset,█
68,7,#13AF10,reset,█
69,7,#13BAC8,reset,█
70,7,#13C680,reset,█
71,7,#13D238,reset,█
72,7,#13DDF0,reset,█
73,7,#13E9A8,reset,█
74,7,#13F560,reset,█
75,7,#140118,reset,█
76,7,#140CD0,reset,█
77,7,#141888,reset,█
78,7,#142440,reset,█
79,7,#142FF8,reset,█
80,7,#143BB0,reset,█
81,7,#144768,reset,█
82,7,#145320,reset,█
83,7,#145ED8,reset,█
84,7,#146A90,reset,█
85,7,#147648,reset,█
86,7,#148200,reset,█
87,7,#148DB8,reset,█
88,7,#149970,reset,█
89,7,#14A528,reset,█
90,7,#14B0E0,reset,█
91,7,#14BC98,reset,█
92,7,#14C850,reset,█
93,7,#14D408,reset,█
94,7,#14DFC0,reset,█
95,7,#14EB78,reset,█
96,7,#14F730,reset,█
97,7,#1502E8,reset,█
98,7,#150EA0,reset,█
99,7,#151A58,reset,█
100,7,#152610,reset,█
101,7,#1531C8,reset,█
102,7,#153D80,reset,█
103,7,#154938,reset,█
104,7,#1554F0,reset,█
105,7,#1560A8,reset,█
106,7,#156C60,reset,█
107,7,#157818,reset,█
108,7,#1583D0,reset,█
109,7,#158F88,reset,█
110,7,#159B40,reset,█
111,7,#15A6F8,reset,█
112,7,#15B2B0,reset,█
113,7,#15BE68,reset,█
114,7,#15CA20,reset,█
115,7,#15D5D8,reset,█
116,7,#15E190,reset,█
117,7,#15ED48,reset,█
118,7,#15F900,reset,█
119,7,#1604B8,reset,█
120,7,#161070,reset,█
121,7,#161C28,reset,█
122,7,#1627E0,reset,█
123,7,#163398,reset,█
124,7,#163F50,reset,█
125,7,#164B08,reset,█
126,7,#1656C0,reset,█
127,7,#166278,reset,█
128,7,#166E30,reset,█
129,7,#1679E8,reset,█
130,7,#1685A0,reset,█
131,7,#169158,reset,█
132,7,#169D10,reset,█
133,7,#16A8C8,reset,█
134,7,#16B480,reset,█
135,7,#16C038,reset,█
136,7,#16CBF0,reset,█
137,7,#16D7A8,reset,█
138,7,#16E360,reset,█
139,7,#16EF18,reset,█
140,7,#16FAD0,reset,█
141,7,#170688,reset,█
142,7,#171240,reset,█
143,7,#171DF8,reset,█
144,7,#1729B0,reset,█
145,7,#173568,reset,█
146,7,#174120,reset,█
147,7,#174CD8,reset,█
148,7,#175890,reset,█
149,7,#176448,reset,█
150,7,#177000,reset,█
151,7,#177BB8,reset,█
152,7,#178770,reset,█
153,7,#179328,reset,█
154,7,#179EE0,reset,█
155,7,#17AA98,reset,█
156,7,#17B650,reset,█
157,7,#17C208,reset,█
158,7,#17CDC0,reset,█
159,7,#17D978,reset,█
160,7,#17E530,reset,█
161,7,#17F0E8,reset,█
162,7,#17FCA0,reset,█
163,7,#180858,reset,█
164,7,#181410,reset,█
165,7,#181FC8,reset,█
166,7,#182B80,reset,█
167,7,#183738,reset,█
168,7,#1842F0,reset,█
169,7,#184EA8,reset,█
170,7,#185A60,reset,█
171,7,#186618,reset,█
172,7,#1871D0,reset,█
173,7,#187D88,reset,█
174,7,#188940,reset,█
175,7,#1894F8,reset,█
176,7,#18A0B0,reset,█
177,7,#18AC68,reset,█
178,7,#18B820,reset,█
179,7,#18C3D8,reset,█
180,7,#18CF90,reset,█
0,8,#18DB48,reset,█
1,8,#18E700,reset,█
2,8,#18F2B8,reset,█
3,8,#18FE70,reset,█
4,8,#190A28,reset,█
5,8,#1915E0,reset,█
6,8,#192198,reset,█
7,8,#192D50,reset,█
8,8,#193908,reset,█
9,8,#1944C0,reset,█
10,8,#195078,reset,█
11,8,#195C30,reset,█
12,8,#1967E8,reset,█
13,8,#1973A0,reset,█
14,8,#197F58,reset,█
15,8,#198B10,reset,█
16,8,#1996C8,reset,█
17,8,#19A280,reset,█
18,8,#19AE38,reset,█
19,8,#19B9F0,reset,█
20,8,#19C5A8,reset,█
21,8,#19D160,reset,█
22,8,#19DD18,reset,█
23,8,#19E8D0,reset,█
24,8,#19F488,reset,█
25,8,#1A0040,reset,█
26,8,#1A0BF8,reset,█
27,8,#1A17B0,reset,█
28,8,#1A2368,reset,█
29,8,#1A2F20,reset,█
30,8,#1A3AD8,reset,█
31,8,#1A4690,reset,█
32,8,#1A5248,reset,█
33,8,#1A5E00,reset,█
34,8,#1A69B8,reset,█
35,8,#1A7570,reset,█
36,8,#1A8128,reset,█
37,8,#1A8CE0,reset,█
38,8,#1A9898,reset,█
39,8,#1AA450,reset,█
40,8,#1AB008,reset,█
41,8,#1ABBC0,reset,█
42,8,#1AC778,reset,█
43,8,#1AD330,reset,█
44,8,#1ADEE8,reset,█
45,8,#1AEAA0,reset,█
46,8,#1AF658,reset,█
47,8,#1B0210,reset,█
48,8,#1B0DC8,reset,█
49,8,#1B1980,reset,█
50,8,#1B2538,reset,█
51,8,#1B30F0,reset,█
52,8,#1B3CA8,reset,█
53,8,#1B4860,reset,█
54,8,#1B5418,reset,█
55,8,#1B5FD0,reset,█
56,8,#1B6B88,reset,█
57,8,#1B7740,reset,█
58,8,#1B82F8,reset,█
59,8,#1B8EB0,reset,█
60,8,#1B9A68,reset,█
61,8,#1BA620,reset,█
62,8,#1BB1D8,reset,█
63,8,#1BBD90,reset,█
64,8,#1BC948,reset,█
65,8,#1BD500,reset,█
66,8,#1BE0B8,reset,█
67,8,#1BEC70,reset,█
68,8,#1BF828,reset,█
69,8,#1C03E0,reset,█
70,8,#1C0F98,reset,█
71,8,#1C1B50,reset,█
72,8,#1C2708,reset,█
73,8,#1C32C0,reset,█
74,8,#1C3E78,reset,█
75,8,#1C4A30,reset,█
76,8,#1C55E8,reset,█
77,8,#1C61A0,reset,█
78,8,#1C6D58,reset,█
79,8,#1C7910,reset,█
80,8,#1C84C8,reset,█
81,8,#1C9080,reset,█
82,8,#1C9C38,reset,█
83,8,#1CA7F0,reset,█
84,8,#1CB3A8,reset,█
85,8,#1CBF60,reset,█
86,8,#1CCB18,reset,█
87,8,#1CD6D0,reset,█
88,8,#1CE288,reset,█
89,8,#1CEE40,reset,█
90,8,#1CF9F8,reset,█
91,8,#1D05B0,reset,█
92,8,#1D1168,reset,█
93,8,#1D1D20,reset,█
94,8,#1D28D8,reset,█
95,8,#1D3490,reset,█
96,8,#1D4048,reset,█
97,8,#1D4C00,reset,█
98,8,#1D57B8,reset,█
99,8,#1D6370,reset,█
100,8,#1D6F28,reset,█
101,8,#1D7AE0,reset,█
102,8,#1D8698,reset,█
103,8,#1D9250,reset,█
104,8,#1D9E08,reset,█
105,8,#1DA9C0,reset,█
106,8,#1DB578,reset,█
107,8,#1DC130,reset,█
108,8,#1DCCE8,reset,█
109,8,#1DD8A0,reset,█
110,8,#1DE458,reset,█
111,8,#1DF010,reset,█
112,8,#1DFBC8,reset,█
113,8,#1E0780,reset,█
114,8,#1E1338,reset,█
115,8,#1E1EF0,reset,█
116,8,#1E2AA8,reset,█
117,8,#1E3660,reset,█
118,8,#1E4218,reset,█
119,8,#1E4DD0,reset,█
120,8,#1E5988,reset,█
121,8,#1E6540,reset,█
122,8,#1E70F8,reset,█
123,8,#1E7CB0,reset,█
124,8,#1E8868,reset,█
125,8,#1E9420,reset,█
126,8,#1E9FD8,reset,█
127,8,#1EAB90,reset,█
128,8,#1EB748,reset,█
129,8,#1EC300,reset,█
130,8,#1ECEB8,reset,█
131,8,#1EDA70,reset,█
132,8,#1EE628,reset,█
133,8,#1EF1E0,reset,█
134,8,#1EFD98,reset,█
135,8,#1F0950,reset,█
136,8,#1F1508,reset,█
137,8,#1F20C0,reset,█
138,8,#1F2C78,reset,█
139,8,#1F3830,reset,█
140,8,#1F43E8,reset,█
141,8,#1F4FA0,reset,█
142,8,#1F5B58,reset,█
143,8,#1F6710,reset,█
144,8,#1F72C8,reset,█
145,8,#1F7E80,reset,█
146,8,#1F8A38,reset,█
147,8,#1F95F0,reset,█
148,8,#1FA1A8,reset,█
149,8,#1FAD60,reset,█
150,8,#1FB918,reset,█
151,8,#1FC4D0,reset,█
152,8,#1FD088,reset,█
153,8,#1FDC40,reset,█
154,8,#1FE7F8,reset,█
155,8,#1FF3B0,reset,█
156,8,#1FFF68,reset,█
157,8,#200B20,reset,█
158,8,#2016D8,reset,█
159,8,#202290,reset,█
160,8,#202E48,reset,█
161,8,#203A00,reset,█
162,8,#2045B8,reset,█
163,8,#205170,reset,█
164,8,#205D28,reset,█
165,8,#2068E0,reset,█
166,8,#207498,reset,█
167,8,#208050,reset,█
168,8,#208C08,reset,█
169,8,#2097C0,reset,█
170,8,#20A378,reset,█
171,8,#20AF30,reset,█
172,8,#20BAE8,reset,█
173,8,#20C6A0,reset,█
174,8,#20D258,reset,█
175,8,#20DE10,reset,█
176,8,#20E9C8,reset,█
177,8,#20F580,reset,█
178,8,#210138,reset,█
179,8,#210CF0,reset,█
180,8,#2118A8,reset,█
0,9,#212460,reset,█
1,9,#213018,reset,█
2,9,#213BD0,reset,█
3,9,#214788,reset,█
4,9,#215340,reset,█
5,9,#215EF8,reset,█
6,9,#216AB0,reset,█
7,9,#217668,reset,█
8,9,#218220,reset,█
9,9,#218DD8,reset,█
10,9,#219990,reset,█
11,9,#21A548,reset,█
12,9,#21B100,reset,█
13,9,#21BCB8,reset,█
14,9,#21C870,reset,█
15,9,#21D428,reset,█
16,9,#21DFE0,reset,█
17,9,#21EB98,reset,█
18,9,#21F750,reset,█
19,9,#220308,reset,█
20,9,#220EC0,reset,█
21,9,#221A78,reset,█
22,9,#222630,reset,█
23,9,#2231E8,reset,█
24,9,#223DA0,reset,█
25,9,#224958,reset,█
26,9,#225510,reset,█
27,9,#2260C8,reset,█
28,9,#226C80,reset,█
29,9,#227838,reset,█
30,9,#2283F0,reset,█
31,9,#228FA8,reset,█
32,9,#229B60,reset,█
33,9,#22A718,reset,█
34,9,#22B2D0,reset,█
35,9,#22BE88,reset,█
36,9,#22CA40,reset,█
37,9,#22D5F8,reset,█
38,9,#22E1B0,reset,█
39,9,#22ED68,reset,█
40,9,#22F920,reset,█
41,9,#2304D8,reset,█
42,9,#231090,reset,█
43,9,#231C48,reset,█
44,9,#232800,reset,█
45,9,#2333B8,reset,█
46,9,#233F70,reset,█
47,9,#234B28,reset,█
48,9,#2356E0,reset,█
49,9,#236298,reset,█
50,9,#236E50,reset,█
51,9,#237A08,reset,█
52,9,#2385C0,reset,█
53,9,#239178,reset,█
54,9,#239D30,reset,█
55,9,#23A8E8,reset,█
56,9,#23B4A0,reset,█
57,9,#23C058,reset,█
58,9,#23CC10,reset,█
59,9,#23D7C8,reset,█
60,9,#23E380,reset,█
61,9,#23EF38,reset,█
62,9,#23FAF0,reset,█
63,9,#2406A8,reset,█
64,9,#241260,reset,█
65,9,#241E18,reset,█
66,9,#2429D0,reset,█
67,9,#243588,reset,█
68,9,#244140,reset,█
69,9,#244CF8,reset,█
70,9,#2458B0,reset,█
71,9,#246468,reset,█
72,9,#247020,reset,█
73,9,#247BD8,reset,█
74,9,#248790,reset,█
75,9,#249348,reset,█
76,9,#249F00,reset,█
77,9,#24AAB8,reset,█
78,9,#24B670,reset,█
79,9,#24C228,reset,█
80,9,#24CDE0,reset,█
81,9,#24D998,reset,█
82,9,#24E550,reset,█
83,9,#24F108,reset,█
84,9,#24FCC0,reset,█
85,9,#250878,reset,█
86,9,#251430,reset,█
87,9,#251FE8,reset,█
88,9,#252BA0,reset,█
89,9,#253758,reset,█
90,9,#254310,reset,█
91,9,#254EC8,reset,█
92,9,#255A80,reset,█
93,9,#256638,reset,█
94,9,#2571F0,reset,█
95,9,#257DA8,reset,█
96,9,#258960,reset,█
97,9,#259518,reset,█
98,9,#25A0D0,reset,█
99,9,#25AC88,reset,█
100,9,#25B840,reset,█
101,9,#25C3F8,reset,█
102,9,#25CFB0,reset,█
103,9,#25DB68,reset,█
104,9,#25E720,reset,█
105,9,#25F2D8,reset,█
106,9,#25FE90,reset,█
107,9,#260A48,reset,█
108,9,#261600,reset,█
109,9,#2621B8,reset,█
110,9,#262D70,reset,█
111,9,#263928,reset,█
112,9,#2644E0,reset,█
113,9,#265098,reset,█
114,9,#265C50,reset,█
115,9,#266808,reset,█
116,9,#2673C0,reset,█
117,9,#267F78,reset,█
118,9,#268B30,reset,█
119,9,#2696E8,reset,█
120,9,#26A2A0,reset,█
121,9,#26AE58,reset,█
122,9,#26BA10,reset,█
123,9,#26C5C8,reset,█
124,9,#26D180,reset,█
125,9,#26DD38,reset,█
126,9,#26E8F0,reset,█
127,9,#26F4A8,reset,█
128,9,#270060,reset,█
129,9,#270C18,reset,█
130,9,#2717D0,reset,█
131,9,#272388,reset,█
132,9,#272F40,reset,█
133,9,#273AF8,reset,█
134,9,#2746B0,reset,█
135,9,#275268,reset,█
136,9,#275E20,reset,█
137,9,#2769D8,reset,█
138,9,#277590,reset,█
139,9,#278148,reset,█
140,9,#278D00,reset,█
141,9,#2798B8,reset,█
142,9,#27A470,reset,█
143,9,#27B028,reset,█
144,9,#27BBE0,reset,█
145,9,#27C798,reset,█
146,9,#27D350,reset,█
147,9,#27DF08,reset,█
148,9,#27EAC0,reset,█
149,9,#27F678,reset,█
150,9,#280230,reset,█
151,9,#280DE8,reset,█
152,9,#2819A0,reset,█
153,9,#282558,reset,█
154,9,#283110,reset,█
155,9,#283CC8,reset,█
156,9,#284880,reset,█
157,9,#285438,reset,█
158,9,#285FF0,reset,█
159,9,#286BA8,reset,█
160,9,#287760,reset,█
161,9,#288318,reset,█
162,9,#288ED0,reset,█
163,9,#289A88,reset,█
164,9,#28A640,reset,█
165,9,#28B1F8,reset,█
166,9,#28BDB0,reset,█
167,9,#28C968,reset,█
168,9,#28D520,reset,█
169,9,#28E0D8,reset,█
170,9,#28EC90,reset,█
171,9,#28F848,reset,█
172,9,#290400,reset,█
173,9,#290FB8,reset,█
174,9,#291B70,reset,█
175,9,#292728,reset,█
176,9,#2932E0,reset,█
177,9,#293E98,reset,█
178,9,#294A50,reset,█
179,9,#295608,reset,█
180,9,#2961C0,reset,█
0,10,#296D78,reset,█
1,10,#297930,reset,█
2,10,#2984E8,reset,█
3,10,#2990A0,reset,█
4,10,#299C58,reset,█
5,10,#29A810,reset,█
6,10,#29B3C8,reset,█
7,10,#29BF80,reset,█
8,10,#29CB38,reset,█
9,10,#29D6F0,reset,█
10,10,#29E2A8,reset,█
11,10,#29EE60,reset,█
12,10,#29FA18,reset,█
13,10,#2A05D0,reset,█
14,10,#2A1188,reset,█
15,10,#2A1D40,reset,█
16,10,#2A28F8,reset,█
17,10,#2A34B0,reset,█
18,10,#2A4068,reset,█
19,10,#2A4C20,reset,█
20,10,#2A57D8,reset,█
21,10,#2A6390,reset,█
22,10,#2A6F48,reset,█
23,10,#2A7B00,reset,█
24,10,#2A86B8,reset,█
25,10,#2A9270,reset,█
26,10,#2A9E28,reset,█
27,10,#2AA9E0,reset,█
28,10,#2AB598,reset,█
29,10,#2AC150,reset,█
30,10,#2ACD08,reset,█
31,10,#2AD8C0,reset,█
32,10,#2AE478,reset,█
33,10,#2AF030,reset,█
34,10,#2AFBE8,reset,█
35,10,#2B07A0,reset,█
36,10,#2B1358,reset,█
